state,season,annual_rainfall,fertilizer,pesticide,area,n_soil,p_soil,k_soil,temperature,humidity,ph,crop,yield
Assam,Whole Year,2051.4,7024878.38,22882.34,73814.0,,,,,,,Arecanut,0.796086957
Assam,Kharif,2051.4,631643.29,2057.47,6637.0,,,,,,,PigeonPeas,0.710434783
Assam,Kharif,2051.4,75755.32,246.76,796.0,,,,,,,Castor seed,0.238333333
Assam,Whole Year,2051.4,1870661.52,6093.36,19656.0,,,,,,,Coconut,5238.051739
Assam,Kharif,2051.4,165500.63,539.09,1739.0,,,,,,,Cotton,0.420909091
Assam,Whole Year,2051.4,1293074.79,4211.97,13587.0,,,,,,,Dry chillies,0.643636364
Assam,Rabi,2051.4,283511.43,923.49,2979.0,,,,,,,ChickPea,0.465454545
Assam,Kharif,2051.4,8995468.4,29301.2,94520.0,,,,,,,Jute,9.919565217
Assam,Rabi,2051.4,961026.66,3130.38,10098.0,,,,,,,Linseed,0.461363636
Assam,Kharif,2051.4,1828786.72,5956.96,19216.0,,,,,,,Maize,0.615652174
Assam,Kharif,2051.4,562930.55,1833.65,5915.0,,,,,,,Mesta,4.568947368
Assam,Whole Year,2051.4,943515.38,3073.34,9914.0,,,,,,,Niger seed,0.482352941
Assam,Whole Year,2051.4,745371.44,2427.92,7832.0,,,,,,,Onion,2.342608696
Assam,Rabi,2051.4,10306625.49,33572.07,108297.0,,,,,,,Other  Rabi pulses,0.520869565
Assam,Whole Year,2051.4,7162399.03,23330.29,75259.0,,,,,,,Potato,7.561304348
Assam,Rabi,2051.4,26580219.64,86580.52,279292.0,,,,,,,Rapeseed &Mustard,0.554782609
Assam,Autumn,2051.4,57802260.86,188280.98,607358.0,80.62068965517241,47.62068965517241,39.89655172413793,23.581131887241376,82.36007244724138,6.473816906275863,Rice,0.780869565
Assam,Summer,2051.4,16652275.58,54241.94,174974.0,80.62068965517241,47.62068965517241,39.89655172413793,23.581131887241376,82.36007244724138,6.473816906275863,Rice,1.060434783
Assam,Winter,2051.4,165911859.6,540429.51,1743321.0,80.62068965517241,47.62068965517241,39.89655172413793,23.581131887241376,82.36007244724138,6.473816906275863,Rice,0.941304348
Assam,Whole Year,2051.4,1500355.05,4887.15,15765.0,,,,,,,Sesamum,0.487391304
Assam,Kharif,2051.4,998333.3,3251.9,10490.0,,,,,,,Small millets,0.473
Assam,Kharif,2051.4,2980534.06,9708.58,31318.0,,,,,,,Sugarcane,41.89695652
Assam,Whole Year,2051.4,892694.6,2907.8,9380.0,,,,,,,Sweet potato,3.440434783
Assam,Whole Year,2051.4,234594.05,764.15,2465.0,,,,,,,Tapioca,4.41826087
Assam,Whole Year,2051.4,41208.61,134.23,433.0,,,,,,,Tobacco,0.38
Assam,Whole Year,2051.4,958457.07,3122.01,10071.0,,,,,,,Turmeric,0.67
Assam,Rabi,2051.4,8060708.66,26256.38,84698.0,,,,,,,Wheat,1.25952381
Karnataka,Whole Year,1266.7,8860327.0,28861.0,93100.0,,,,,,,Arecanut,1.293571429
Karnataka,Kharif,1266.7,40143657.7,130761.1,421810.0,26.142857142857142,69.28571428571429,22.428571428571427,30.453358891428568,52.32321560857143,5.867523006,PigeonPeas,0.268235294
Karnataka,Kharif,1266.7,28660350.33,93356.19,301149.0,,,,,,,Bajra,0.404545455
Karnataka,Summer,1266.7,78039.4,254.2,820.0,,,,,,,Bajra,0.81
Karnataka,Kharif,1266.7,364025.25,1185.75,3825.0,,,,,,,Black pepper,0.4375
Karnataka,Whole Year,1266.7,2020459.1,6581.3,21230.0,,,,,,,Cardamom,0.058571429
Karnataka,Whole Year,1266.7,1648058.89,5368.27,17317.0,,,,,,,Coriander,0.121333333
Karnataka,Kharif,1266.7,17756723.43,57839.49,186579.0,,,,,,,Dry chillies,1.078333333
Karnataka,Rabi,1266.7,434451.05,1415.15,4565.0,,,,,,,Dry chillies,1.869444444
Karnataka,Whole Year,1266.7,481655.37,1568.91,5061.0,,,,,,,Garlic,1.585
Karnataka,Kharif,1266.7,344420.23,1121.89,3619.0,,,,,,,Ginger,1.262307692
Karnataka,Kharif,1266.7,80672373.22,262776.46,847666.0,,,,,,,Groundnut,0.709411765
Karnataka,Rabi,1266.7,18312230.72,59648.96,192416.0,,,,,,,Groundnut,1.133333333
Karnataka,Kharif,1266.7,17023248.24,55450.32,178872.0,,,,,,,Horse-gram,0.45
Karnataka,Rabi,1266.7,15529174.41,50583.63,163173.0,,,,,,,Horse-gram,0.514705882
Karnataka,Kharif,1266.7,37086797.3,120803.9,389690.0,,,,,,,Jowar,1.228
Karnataka,Rabi,1266.7,142866539.2,465363.32,1501172.0,,,,,,,Jowar,0.510714286
Karnataka,Summer,1266.7,584058.29,1902.47,6137.0,,,,,,,Jowar,2.470909091
Karnataka,Kharif,1266.7,47851190.49,155867.07,502797.0,,,,,,,Maize,2.687777778
Karnataka,Rabi,1266.7,4648483.48,15141.64,48844.0,,,,,,,Maize,1.98
Karnataka,Summer,1266.7,926004.1,3016.3,9730.0,,,,,,,Maize,2.165714286
Karnataka,Kharif,1266.7,85455141.57,278355.51,897921.0,,,,,,,Ragi,1.191333333
Karnataka,Rabi,1266.7,2579487.68,8402.24,27104.0,,,,,,,Ragi,1.312222222
Karnataka,Summer,1266.7,1286793.57,4191.51,13521.0,,,,,,,Ragi,1.847777778
Karnataka,Kharif,1266.7,98170710.1,319774.3,1031530.0,,,,,,,Rice,2.2335
Karnataka,Rabi,1266.7,5128616.13,16705.59,53889.0,,,,,,,Rice,2.073846154
Karnataka,Summer,1266.7,25509747.48,83093.64,268044.0,,,,,,,Rice,2.829444444
Karnataka,Whole Year,1266.7,29393920.69,95745.67,308857.0,,,,,,,Sugarcane,91.74736842
Karnataka,Whole Year,1266.7,413228.14,1346.02,4342.0,,,,,,,Turmeric,4.452941176
Karnataka,Rabi,1266.7,23858928.66,77716.38,250698.0,,,,,,,Wheat,0.548333333
Kerala,Whole Year,3252.4,7246719.65,23604.95,76145.0,,,,,,,Arecanut,1.147857143
Kerala,Whole Year,3252.4,16545780.35,53895.05,173855.0,,,,,,,Black pepper,0.240714286
Kerala,Whole Year,3252.4,9143267.41,29782.63,96073.0,,,,,,,Cashewnut,0.589285714
Kerala,Whole Year,3252.4,84163018.48,274146.64,884344.0,,,,,,,Coconut,5376.054286
Kerala,Whole Year,3252.4,12645713.75,41191.25,132875.0,,,,,,,Tapioca,22.80357143
Meghalaya,Whole Year,3818.2,910681.73,2966.39,9569.0,,,,,,,Arecanut,1.245714286
Meghalaya,Kharif,3818.2,82322.05,268.15,865.0,,,,,,,PigeonPeas,0.806666667
Meghalaya,Whole Year,3818.2,498595.63,1624.09,5239.0,,,,,,,Banana,11.20714286
Meghalaya,Rabi,3818.2,2855.1,9.3,30.0,,,,,,,Castor seed,0.49
Meghalaya,Kharif,3818.2,717962.48,2338.64,7544.0,,,,,,,Cotton,0.796666667
Meghalaya,Whole Year,3818.2,168070.22,547.46,1766.0,,,,,,,Dry chillies,0.64
Meghalaya,Kharif,3818.2,700165.69,2280.67,7357.0,,,,,,,Ginger,6.054285714
Meghalaya,Rabi,3818.2,42160.31,137.33,443.0,,,,,,,ChickPea,0.613333333
Meghalaya,Kharif,3818.2,403806.31,1315.33,4243.0,,,,,,,Jute,8.436666667
Meghalaya,Kharif,3818.2,4758.5,15.5,50.0,,,,,,,Linseed,0.44
Meghalaya,Kharif,3818.2,1634544.75,5324.25,17175.0,,,,,,,Maize,1.444285714
Meghalaya,Kharif,3818.2,446156.96,1453.28,4688.0,,,,,,,Mesta,4.68
Meghalaya,Whole Year,3818.2,81941.37,266.91,861.0,,,,,,,Mesta,0.7525
Meghalaya,Rabi,3818.2,181679.53,591.79,1909.0,,,,,,,Other  Rabi pulses,0.777142857
Meghalaya,Whole Year,3818.2,1976109.88,6436.84,20764.0,,,,,,,Potato,8.641428571
Meghalaya,Rabi,3818.2,658005.38,2143.34,6914.0,,,,,,,Rapeseed &Mustard,0.608571429
Meghalaya,Kharif,3818.2,10009028.9,32602.7,105170.0,,,,,,,Rice,1.378571429
Meghalaya,Kharif,3818.2,126195.42,411.06,1326.0,,,,,,,Sesamum,0.575714286
Meghalaya,Kharif,3818.2,266856.68,869.24,2804.0,,,,,,,Small millets,0.861428571
Meghalaya,Kharif,3818.2,85462.66,278.38,898.0,,,,,,,Soyabean,0.921428571
Meghalaya,Whole Year,3818.2,7803.94,25.42,82.0,,,,,,,Sugarcane,2.352
Meghalaya,Whole Year,3818.2,496026.04,1615.72,5212.0,,,,,,,Sweet potato,3.221428571
Meghalaya,Whole Year,3818.2,376778.03,1227.29,3959.0,,,,,,,Tapioca,6.537142857
Meghalaya,Rabi,3818.2,70616.14,230.02,742.0,,,,,,,Tobacco,0.618
Meghalaya,Whole Year,3818.2,133333.17,434.31,1401.0,,,,,,,Turmeric,5.425714286
Meghalaya,Rabi,3818.2,407993.79,1328.97,4287.0,,,,,,,Wheat,1.385
West Bengal,Whole Year,1852.9,766879.86,2497.98,8058.0,,,,,,,Arecanut,1.691764706
West Bengal,Whole Year,1852.9,345467.1,1125.3,3630.0,,,,,,,PigeonPeas,0.777692308
West Bengal,Kharif,1852.9,19700.19,64.17,207.0,,,,,,,Bajra,0.426666667
West Bengal,Whole Year,1852.9,582059.72,1895.96,6116.0,,,,,,,Barley,1.68
West Bengal,Whole Year,1852.9,62812.2,204.6,660.0,,,,,,,Castor seed,0.07
West Bengal,Whole Year,1852.9,2310061.41,7524.63,24273.0,,,,,,,Coconut,13003.78778
West Bengal,Kharif,1852.9,2474420.0,8060.0,26000.0,,,,,,,Cotton,2.0
West Bengal,Whole Year,1852.9,6094115.78,19850.54,64034.0,,,,,,,Dry chillies,0.942777778
West Bengal,Rabi,1852.9,2425407.45,7900.35,25485.0,,,,,,,ChickPea,0.5975
West Bengal,Whole Year,1852.9,2818459.55,9180.65,29615.0,,,,,,,Groundnut,1.13
West Bengal,Kharif,1852.9,537234.65,1749.95,5645.0,,,,,,,Horse-gram,0.438888889
West Bengal,Whole Year,1852.9,90221.16,293.88,948.0,,,,,,,Jowar,0.482
West Bengal,Kharif,1852.9,61058597.58,198887.94,641574.0,79.70833333333333,46.833333333333336,39.583333333333336,25.08514918708333,79.29019586625,6.719478032708333,Jute,13.44588235
West Bengal,Rabi,1852.9,2404089.37,7830.91,25261.0,,,,,,,Khesari,1.095882353
West Bengal,Whole Year,1852.9,1568972.62,5110.66,16486.0,,,,,,,Linseed,0.251538462
West Bengal,Whole Year,1852.9,3375584.73,10995.39,35469.0,,,,,,,Maize,2.658461538
West Bengal,Rabi,1852.9,4872894.34,15872.62,51202.0,,,,,,,Masoor,0.662352941
West Bengal,Kharif,1852.9,922102.13,3003.59,9689.0,,,,,,,Mesta,9.154166667
West Bengal,Kharif,1852.9,141803.3,461.9,1490.0,,,,,,,MungBean,0.548888889
West Bengal,Rabi,1852.9,311110.73,1013.39,3269.0,,,,,,,MungBean,0.542857143
West Bengal,Summer,1852.9,947798.03,3087.29,9959.0,,,,,,,MungBean,0.046
West Bengal,Rabi,1852.9,4835406877.0,15750511.0,50808100.0,,,,,,,Niger seed,0.698888889
West Bengal,Whole Year,1852.9,619747.04,2018.72,6512.0,,,,,,,Niger seed,0.40375
West Bengal,Kharif,1852.9,121722.43,396.49,1279.0,,,,,,,Other Kharif pulses,0.585
West Bengal,Whole Year,1852.9,27029707.55,88044.65,284015.0,,,,,,,Potato,18.23722222
West Bengal,Autumn,1852.9,1199808.19,3908.17,12607.0,,,,,,,Ragi,0.986
West Bengal,Whole Year,1852.9,31132295.91,101408.13,327123.0,,,,,,,Rapeseed &Mustard,0.718333333
West Bengal,Autumn,1852.9,40268425.57,131167.51,423121.0,,,,,,,Rice,1.837222222
West Bengal,Summer,1852.9,114853915.9,374116.99,1206829.0,,,,,,,Rice,2.843888889
West Bengal,Winter,1852.9,406407115.8,1323801.68,4270328.0,,,,,,,Rice,1.985555556
West Bengal,Whole Year,1852.9,1027836.0,3348.0,10800.0,,,,,,,Safflower,0.2975
West Bengal,Whole Year,1852.9,191767.55,624.65,2015.0,,,,,,,Sannhamp,4.598571429
West Bengal,Whole Year,1852.9,12173480.21,39653.03,127913.0,,,,,,,Sesamum,0.649444444
West Bengal,Whole Year,1852.9,480227.82,1564.26,5046.0,,,,,,,Small millets,0.626666667
West Bengal,Kharif,1852.9,147989.35,482.05,1555.0,,,,,,,Soyabean,1.196666667
West Bengal,Whole Year,1852.9,2455100.49,7997.07,25797.0,,,,,,,Sugarcane,67.83625
West Bengal,Whole Year,1852.9,1187816.77,3869.11,12481.0,,,,,,,Turmeric,1.661111111
West Bengal,Kharif,1852.9,6592521.07,21474.01,69271.0,,,,,,,Urad,1.825
West Bengal,Rabi,1852.9,1588767.98,5175.14,16694.0,,,,,,,Urad,0.628333333
West Bengal,Rabi,1852.9,34962983.58,113885.94,367374.0,,,,,,,Wheat,1.886666667
Pondicherry,Kharif,1434.5875,6520.8,19.14,66.0,,,,,,,Arecanut,0.35
Pondicherry,Kharif,1434.5875,14721.2,43.21,149.0,,,,,,,Bajra,2.17
Pondicherry,Kharif,1434.5875,1185.6,3.48,12.0,,,,,,,Black pepper,0.58
Pondicherry,Kharif,1434.5875,197.6,0.58,2.0,,,,,,,Coriander,0.5
Pondicherry,Summer,1434.5875,44756.4,131.37,453.0,,,,,,,Cotton,0.84
Pondicherry,Kharif,1434.5875,790.4,2.32,8.0,,,,,,,Dry chillies,2.75
Pondicherry,Rabi,1434.5875,103344.8,303.34,1046.0,,,,,,,Groundnut,1.54
Pondicherry,Kharif,1434.5875,2568.8,7.54,26.0,,,,,,,Onion,16.5
Pondicherry,Kharif,1434.5875,11065.6,32.48,112.0,,,,,,,Ragi,3.27
Pondicherry,Kharif,1434.5875,488566.0,1434.05,4945.0,,,,,,,Rice,2.46
Pondicherry,Rabi,1434.5875,1379346.8,4048.69,13961.0,,,,,,,Rice,2.555
Pondicherry,Summer,1434.5875,564740.8,1657.64,5716.0,,,,,,,Rice,2.55
Pondicherry,Kharif,1434.5875,14523.6,42.63,147.0,,,,,,,Sesamum,0.806666667
Pondicherry,Kharif,1434.5875,395.2,1.16,4.0,,,,,,,Small millets,0.75
Pondicherry,Kharif,1434.5875,267748.0,785.9,2710.0,,,,,,,Sugarcane,82.595
Pondicherry,Kharif,1434.5875,64121.2,188.21,649.0,,,,,,,Tapioca,20.0
Assam,Whole Year,2354.4,7356351.6,21592.53,74457.0,,,,,,,Arecanut,0.784347826
Assam,Kharif,2354.4,756511.6,2220.53,7657.0,,,,,,,PigeonPeas,0.709130435
Assam,Whole Year,2354.4,4138238.0,12146.65,41885.0,,,,,,,Banana,13.78826087
Assam,Kharif,2354.4,170726.4,501.12,1728.0,,,,,,,Castor seed,0.411428571
Assam,Whole Year,2354.4,1992400.8,5848.14,20166.0,,,,,,,Coconut,6045.886957
Assam,Kharif,2354.4,163217.6,479.08,1652.0,,,,,,,Cotton,0.399130435
Assam,Whole Year,2354.4,1454731.2,4269.96,14724.0,,,,,,,Dry chillies,0.636956522
Assam,Rabi,2354.4,296597.6,870.58,3002.0,,,,,,,ChickPea,0.460454545
Assam,Kharif,2354.4,7775757.6,22823.58,78702.0,,,,,,,Jute,9.040869565
Assam,Rabi,2354.4,1009933.6,2964.38,10222.0,,,,,,,Linseed,0.480909091
Assam,Kharif,2354.4,1957228.0,5744.9,19810.0,,,,,,,Maize,0.608695652
Assam,Kharif,2354.4,519688.0,1525.4,5260.0,,,,,,,Mesta,4.9105
Assam,Kharif,2354.4,864796.4,2538.37,8753.0,,,,,,,Niger seed,0.520555556
Assam,Whole Year,2354.4,798600.4,2344.07,8083.0,,,,,,,Onion,2.340434783
Assam,Rabi,2354.4,11474730.8,33680.89,116141.0,,,,,,,Other  Rabi pulses,0.50826087
Assam,Whole Year,2354.4,7603450.4,22317.82,76958.0,,,,,,,Potato,7.230434783
Assam,Rabi,2354.4,28536305.2,83760.41,288829.0,,,,,,,Rapeseed &Mustard,0.473478261
Assam,Autumn,2354.4,58783925.2,172543.91,594979.0,80.62068965517241,47.62068965517241,39.89655172413793,23.581131887241376,82.36007244724138,6.473816906275863,Rice,1.055652174
Assam,Summer,2354.4,22122604.4,64934.77,223913.0,80.62068965517241,47.62068965517241,39.89655172413793,23.581131887241376,82.36007244724138,6.473816906275863,Rice,1.685217391
Assam,Winter,2354.4,161560724.0,474216.7,1635230.0,80.62068965517241,47.62068965517241,39.89655172413793,23.581131887241376,82.36007244724138,6.473816906275863,Rice,1.395652174
Assam,Kharif,2354.4,1574872.0,4622.6,15940.0,,,,,,,Sesamum,0.485217391
Assam,Kharif,2354.4,1042043.6,3058.63,10547.0,,,,,,,Small millets,0.521363636
Assam,Whole Year,2354.4,3020414.8,8865.59,30571.0,,,,,,,Sugarcane,39.89304348
Assam,Whole Year,2354.4,931980.4,2735.57,9433.0,,,,,,,Sweet potato,3.435652174
Assam,Whole Year,2354.4,276442.4,811.42,2798.0,,,,,,,Tapioca,4.445217391
Assam,Whole Year,2354.4,144742.0,424.85,1465.0,,,,,,,Tobacco,0.569545455
Assam,Whole Year,2354.4,1060025.2,3111.41,10729.0,,,,,,,Turmeric,0.666956522
Assam,Rabi,2354.4,8851590.8,25981.39,89591.0,,,,,,,Wheat,0.999545455
Goa,Whole Year,2964.9,148200.0,435.0,1500.0,,,,,,,Arecanut,1.21
Goa,Whole Year,2964.9,187720.0,551.0,1900.0,,,,,,,Banana,7.58
Goa,Whole Year,2964.9,24700.0,72.5,250.0,,,,,,,Black pepper,0.28
Goa,Whole Year,2964.9,5224050.0,15333.75,52875.0,,,,,,,Cashewnut,0.28
Goa,Whole Year,2964.9,2455970.4,7208.82,24858.0,,,,,,,Coconut,4867.65
Goa,Kharif,2964.9,34580.0,101.5,350.0,,,,,,,Groundnut,1.18
Goa,Rabi,2964.9,103542.4,303.92,1048.0,,,,,,,Groundnut,2.03
Goa,Rabi,2964.9,856694.8,2514.59,8671.0,,,,,,,Other  Rabi pulses,1.06
Goa,Kharif,2964.9,118560.0,348.0,1200.0,,,,,,,Other Kharif pulses,0.27
Goa,Kharif,2964.9,247000.0,725.0,2500.0,,,,,,,Ragi,0.99
Goa,Kharif,2964.9,4050800.0,11890.0,41000.0,77.33333333333333,51.0,40.0,23.619285736666665,82.10331168666666,5.804503029333333,Rice,2.54
Goa,Rabi,2964.9,1525373.2,4477.31,15439.0,77.33333333333333,51.0,40.0,23.619285736666665,82.10331168666666,5.804503029333333,Rice,3.04
Goa,Whole Year,2964.9,130416.0,382.8,1320.0,,,,,,,Sugarcane,48.48
Karnataka,Whole Year,1260.8,9687043.6,28433.63,98047.0,,,,,,,Arecanut,6.232
Karnataka,Kharif,1260.8,46969124.8,137864.84,475396.0,26.142857142857142,69.28571428571429,22.428571428571427,30.453358891428568,52.32321560857143,5.867523006,PigeonPeas,0.400833333
Karnataka,Kharif,1260.8,41082620.8,120586.64,415816.0,,,,,,,Bajra,0.601764706
Karnataka,Rabi,1260.8,44558.8,130.79,451.0,,,,,,,Bajra,1.19
Karnataka,Summer,1260.8,83584.8,245.34,846.0,,,,,,,Bajra,0.59
