n_soil,p_soil,k_soil,temperature,humidity,ph,rainfall,state,crop,yield_t_ha
87.5,43.6,51.5,32.6,73.1,6.38,1186.9,Tamil Nadu,rice,3.85
91.5,40.3,50.4,26.6,71.3,6.62,663.0,Tamil Nadu,rice,3.85
54.1,39.4,34.9,28.9,67.7,5.79,1169.8,Tamil Nadu,rice,3.85
76.6,45.7,30.8,26.4,75.9,5.92,1006.4,Tamil Nadu,rice,3.85
71.0,42.1,39.0,33.6,74.9,5.97,1073.4,Tamil Nadu,rice,3.85
61.7,47.1,25.4,24.0,76.6,6.87,975.7,Tamil Nadu,rice,3.85
78.3,42.0,30.2,25.8,71.3,7.03,1001.5,Tamil Nadu,rice,3.85
53.6,48.2,41.1,26.0,79.9,7.02,1089.7,Tamil Nadu,rice,3.85
67.4,41.9,48.3,30.9,71.2,6.41,784.0,Tamil Nadu,rice,3.85
62.1,53.1,58.6,27.8,83.0,6.68,853.2,Tamil Nadu,rice,3.85
85.4,60.4,44.6,32.7,54.0,7.21,963.1,Tamil Nadu,wheat,3.6
75.5,45.9,25.1,27.3,77.9,7.54,872.3,Tamil Nadu,wheat,3.6
67.9,40.0,54.2,29.0,70.8,7.06,964.6,Tamil Nadu,wheat,3.6
94.5,38.0,41.7,26.8,63.3,6.95,989.2,Tamil Nadu,wheat,3.6
80.1,42.7,30.8,26.7,72.3,6.4,925.8,Tamil Nadu,wheat,3.6
86.1,63.9,46.7,28.8,74.4,5.84,946.0,Tamil Nadu,wheat,3.6
80.9,69.6,43.1,28.9,74.7,6.22,1121.4,Tamil Nadu,wheat,3.6
91.3,52.9,35.9,32.2,63.8,7.09,1278.6,Tamil Nadu,wheat,3.6
65.1,39.3,46.0,26.5,62.6,6.83,790.7,Tamil Nadu,wheat,3.6
87.1,35.8,60.5,25.7,72.4,7.21,765.4,Tamil Nadu,wheat,3.6
83.4,58.1,28.9,28.6,77.1,6.89,764.5,Tamil Nadu,maize,4.15
60.2,50.2,48.0,28.8,77.8,6.16,984.8,Tamil Nadu,maize,4.15
84.4,37.9,63.7,29.4,65.5,6.83,803.8,Tamil Nadu,maize,4.15
91.8,56.6,36.8,30.9,78.3,6.91,1234.5,Tamil Nadu,maize,4.15
76.3,37.5,36.1,25.6,74.4,6.67,991.5,Tamil Nadu,maize,4.15
92.4,45.1,59.5,27.2,96.8,6.81,821.4,Tamil Nadu,maize,4.15
63.9,49.8,42.8,30.1,78.8,6.46,823.0,Tamil Nadu,maize,4.15
57.3,40.5,53.6,28.6,65.0,6.59,1007.8,Tamil Nadu,maize,4.15
66.7,46.5,45.6,24.6,77.9,6.78,1112.5,Tamil Nadu,maize,4.15
95.8,31.2,35.6,29.5,79.1,6.76,1527.9,Tamil Nadu,maize,4.15
29.6,56.4,42.6,30.0,72.5,7.58,834.1,Tamil Nadu,chickpea,1.2
23.1,40.1,35.7,34.9,60.1,7.54,708.1,Tamil Nadu,chickpea,1.2
21.2,55.9,35.5,24.8,69.3,7.54,840.4,Tamil Nadu,chickpea,1.2
26.7,45.5,29.8,34.4,80.1,6.19,978.0,Tamil Nadu,chickpea,1.2
19.7,53.5,28.7,27.7,79.0,7.63,770.0,Tamil Nadu,chickpea,1.2
22.3,40.3,29.8,33.3,78.2,6.57,1087.7,Tamil Nadu,chickpea,1.2
42.0,55.3,22.8,26.5,85.1,6.85,1016.6,Tamil Nadu,chickpea,1.2
31.2,35.7,34.5,18.3,66.8,7.07,762.8,Tamil Nadu,chickpea,1.2
38.1,30.7,31.5,28.4,86.5,6.48,1124.5,Tamil Nadu,chickpea,1.2
25.1,35.2,38.7,28.6,70.2,7.23,892.2,Tamil Nadu,chickpea,1.2
62.3,47.9,55.9,24.3,92.1,5.52,927.2,Tamil Nadu,kidneybeans,0.96
71.8,43.4,33.8,27.4,71.1,6.21,1077.4,Tamil Nadu,kidneybeans,0.96
67.1,31.7,49.0,28.9,81.5,6.81,825.7,Tamil Nadu,kidneybeans,0.96
48.8,49.0,46.1,27.9,75.9,7.14,861.3,Tamil Nadu,kidneybeans,0.96
70.9,37.6,37.8,31.3,81.6,6.91,1145.8,Tamil Nadu,kidneybeans,0.96
60.4,48.2,36.9,29.0,74.0,6.55,1039.3,Tamil Nadu,kidneybeans,0.96
43.6,65.1,29.9,24.4,84.3,6.9,1043.6,Tamil Nadu,kidneybeans,0.96
72.6,39.9,31.0,28.2,69.6,6.99,927.9,Tamil Nadu,kidneybeans,0.96
43.5,36.1,44.1,26.3,68.4,6.62,986.7,Tamil Nadu,kidneybeans,0.96
49.9,34.3,42.3,23.7,63.7,6.14,918.0,Tamil Nadu,kidneybeans,0.96
66.2,57.7,48.6,27.5,74.8,6.0,947.2,Tamil Nadu,pigeonpeas,0.96
54.2,43.9,31.7,29.6,87.3,6.45,1010.3,Tamil Nadu,pigeonpeas,0.96
73.8,35.2,42.2,28.0,75.8,6.11,953.7,Tamil Nadu,pigeonpeas,0.96
70.0,57.4,49.6,34.5,68.9,6.94,977.5,Tamil Nadu,pigeonpeas,0.96
103.8,30.3,31.6,26.2,58.0,6.24,836.1,Tamil Nadu,pigeonpeas,0.96
63.0,44.1,58.8,30.9,70.4,6.05,1023.8,Tamil Nadu,pigeonpeas,0.96
33.6,62.0,51.8,26.6,61.3,7.18,932.8,Tamil Nadu,pigeonpeas,0.96
84.8,20.9,34.0,28.0,75.4,6.27,1043.4,Tamil Nadu,pigeonpeas,0.96
38.6,38.3,41.2,29.5,80.7,5.94,719.9,Tamil Nadu,pigeonpeas,0.96
85.6,44.0,32.5,32.7,75.9,7.09,960.1,Tamil Nadu,pigeonpeas,0.96
101.2,61.1,37.5,30.9,80.2,7.18,805.3,Tamil Nadu,mothbeans,0.48
73.7,52.7,22.4,24.5,58.7,6.37,1057.6,Tamil Nadu,mothbeans,0.48
90.0,40.9,56.3,23.9,61.4,6.47,1007.6,Tamil Nadu,mothbeans,0.48
59.3,15.2,39.1,24.1,80.4,6.68,809.0,Tamil Nadu,mothbeans,0.48
49.7,27.3,39.4,30.9,67.1,6.75,870.5,Tamil Nadu,mothbeans,0.48
44.1,38.7,29.6,26.3,65.4,7.48,955.3,Tamil Nadu,mothbeans,0.48
46.0,42.6,38.9,27.3,79.9,6.88,870.4,Tamil Nadu,mothbeans,0.48
48.5,36.7,17.0,23.5,85.9,7.32,912.6,Tamil Nadu,mothbeans,0.48
71.5,43.7,70.8,31.4,74.0,6.02,709.0,Tamil Nadu,mothbeans,0.48
64.1,30.9,25.8,26.1,66.3,7.34,1082.2,Tamil Nadu,mothbeans,0.48
24.9,59.8,35.6,25.4,87.2,6.77,794.4,Tamil Nadu,mungbean,0.84
23.5,36.2,23.9,30.8,90.3,5.8,1034.4,Tamil Nadu,mungbean,0.84
19.8,40.1,30.3,25.4,75.4,6.08,990.6,Tamil Nadu,mungbean,0.84
24.6,42.6,27.7,26.3,81.0,6.75,803.4,Tamil Nadu,mungbean,0.84
25.8,52.5,21.6,29.6,69.7,6.79,835.5,Tamil Nadu,mungbean,0.84
10.6,28.7,35.4,28.8,67.8,6.82,700.8,Tamil Nadu,mungbean,0.84
24.5,32.9,29.8,28.1,68.1,6.31,1100.9,Tamil Nadu,mungbean,0.84
20.4,53.4,26.0,29.6,86.5,5.26,830.5,Tamil Nadu,mungbean,0.84
29.6,43.0,38.0,26.2,75.7,6.42,1125.2,Tamil Nadu,mungbean,0.84
27.0,48.4,31.7,26.5,71.5,6.7,886.9,Tamil Nadu,mungbean,0.84
65.8,64.9,48.7,27.0,84.6,6.3,644.3,Tamil Nadu,blackgram,0.72
39.8,17.6,36.5,28.1,88.4,6.66,917.1,Tamil Nadu,blackgram,0.72
76.6,13.5,42.4,30.3,63.2,7.07,1000.8,Tamil Nadu,blackgram,0.72
51.7,47.6,62.7,28.5,77.0,6.27,822.5,Tamil Nadu,blackgram,0.72
76.6,29.7,40.7,26.6,78.8,6.67,1105.6,Tamil Nadu,blackgram,0.72
49.8,36.8,30.2,26.7,78.0,6.88,811.7,Tamil Nadu,blackgram,0.72
77.4,56.3,44.1,33.6,68.8,5.88,683.2,Tamil Nadu,blackgram,0.72
89.9,47.9,39.4,28.8,66.0,7.72,969.4,Tamil Nadu,blackgram,0.72
62.2,48.7,44.8,28.7,68.7,6.74,1232.3,Tamil Nadu,blackgram,0.72
86.9,59.1,34.9,25.0,74.0,6.53,1114.1,Tamil Nadu,blackgram,0.72
11.5,60.3,33.7,26.7,66.9,5.67,1073.5,Tamil Nadu,lentil,0.96
25.6,32.1,24.6,27.0,88.4,6.37,724.5,Tamil Nadu,lentil,0.96
23.0,42.3,13.4,27.8,73.2,6.85,1227.3,Tamil Nadu,lentil,0.96
34.0,42.3,26.1,35.7,75.5,6.51,946.4,Tamil Nadu,lentil,0.96
26.6,43.6,30.4,26.4,74.7,6.23,843.1,Tamil Nadu,lentil,0.96
25.9,42.5,47.0,20.0,83.7,7.12,639.0,Tamil Nadu,lentil,0.96
22.3,41.3,23.7,25.7,66.1,7.38,1090.4,Tamil Nadu,lentil,0.96
35.2,52.2,26.0,26.4,78.9,5.89,1056.9,Tamil Nadu,lentil,0.96
23.1,41.3,40.7,29.3,72.1,7.08,787.8,Tamil Nadu,lentil,0.96
29.9,50.9,32.5,29.0,65.0,6.96,922.3,Tamil Nadu,lentil,0.96
49.5,52.6,33.0,23.8,62.5,6.8,757.9,Tamil Nadu,pomegranate,12.0
95.1,15.0,57.0,28.6,74.2,6.23,1009.9,Tamil Nadu,pomegranate,12.0
59.2,53.2,41.1,28.5,72.1,6.47,996.2,Tamil Nadu,pomegranate,12.0
25.8,23.8,47.4,28.5,73.5,6.51,1002.1,Tamil Nadu,pomegranate,12.0
49.2,30.7,42.0,25.1,78.3,5.65,1104.4,Tamil Nadu,pomegranate,12.0
69.5,43.1,49.8,33.0,83.1,5.58,758.1,Tamil Nadu,pomegranate,12.0
47.5,40.3,45.2,25.8,76.5,6.12,858.3,Tamil Nadu,pomegranate,12.0
31.9,28.9,26.5,25.1,83.4,6.03,1344.9,Tamil Nadu,pomegranate,12.0
69.9,42.2,31.4,30.1,70.4,6.56,1334.0,Tamil Nadu,pomegranate,12.0
58.1,53.8,33.0,27.9,89.2,6.19,1221.9,Tamil Nadu,pomegranate,12.0
74.2,33.3,46.3,30.9,80.0,5.71,840.9,Tamil Nadu,banana,42.0
55.0,39.1,46.2,28.5,64.3,6.69,1041.6,Tamil Nadu,banana,42.0
71.2,53.0,48.3,29.4,74.4,5.67,1014.4,Tamil Nadu,banana,42.0
64.2,43.3,27.2,24.8,83.4,6.48,1052.2,Tamil Nadu,banana,42.0
60.6,40.4,49.4,26.5,75.8,6.27,884.8,Tamil Nadu,banana,42.0
53.8,42.7,35.2,31.8,67.8,6.41,884.0,Tamil Nadu,banana,42.0
88.9,42.4,50.3,23.5,77.1,6.94,962.3,Tamil Nadu,banana,42.0
81.3,33.8,54.1,34.9,72.1,6.28,1168.0,Tamil Nadu,banana,42.0
91.6,33.7,35.8,27.2,64.2,6.04,799.4,Tamil Nadu,banana,42.0
44.6,39.6,42.3,32.7,67.0,6.99,917.9,Tamil Nadu,banana,42.0
59.0,48.1,28.8,29.1,76.3,6.75,993.4,Tamil Nadu,mango,9.6
109.1,32.3,34.7,26.1,70.6,6.18,1128.4,Tamil Nadu,mango,9.6
88.4,33.2,31.7,29.4,70.6,6.82,980.4,Tamil Nadu,mango,9.6
29.7,58.6,58.0,26.2,71.9,6.64,1000.2,Tamil Nadu,mango,9.6
73.2,64.1,38.2,25.6,64.0,6.13,945.0,Tamil Nadu,mango,9.6
95.9,33.8,42.2,28.0,84.5,7.76,870.4,Tamil Nadu,mango,9.6
50.2,52.5,46.8,33.5,79.7,6.32,1038.6,Tamil Nadu,mango,9.6
82.2,49.8,45.1,31.2,84.4,7.19,1047.3,Tamil Nadu,mango,9.6
56.7,41.8,52.1,25.5,77.9,6.3,954.3,Tamil Nadu,mango,9.6
85.6,42.3,40.5,23.9,81.0,6.82,1274.5,Tamil Nadu,mango,9.6
53.8,42.6,42.5,32.7,74.2,6.64,1041.2,Tamil Nadu,grapes,24.0
63.7,34.6,41.9,31.2,66.8,6.57,845.0,Tamil Nadu,grapes,24.0
83.9,21.7,34.4,29.1,87.5,6.47,866.7,Tamil Nadu,grapes,24.0
97.6,22.6,18.0,29.3,71.0,5.99,1056.3,Tamil Nadu,grapes,24.0
64.9,33.2,27.2,30.6,80.2,6.45,1227.0,Tamil Nadu,grapes,24.0
38.6,21.7,33.1,27.9,76.9,6.38,1002.8,Tamil Nadu,grapes,24.0
35.0,57.3,39.2,31.4,77.7,6.73,1035.5,Tamil Nadu,grapes,24.0
69.0,47.7,53.3,28.6,80.7,6.46,1166.0,Tamil Nadu,grapes,24.0
46.5,61.6,39.6,23.7,76.0,6.16,1076.1,Tamil Nadu,grapes,24.0
46.9,34.6,21.1,26.6,55.6,5.71,1064.1,Tamil Nadu,grapes,24.0
75.7,45.1,30.3,27.9,75.0,5.92,1175.5,Tamil Nadu,watermelon,30.0
77.5,37.3,40.3,28.6,58.7,6.38,847.7,Tamil Nadu,watermelon,30.0
40.0,36.6,58.0,29.9,70.4,6.79,1159.9,Tamil Nadu,watermelon,30.0
78.5,40.7,33.5,30.1,78.1,6.95,1045.3,Tamil Nadu,watermelon,30.0
