State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
West Bengal,Kolkata,Kolkata APMC,Paddy(Common),Other,FAQ,30/01/2026,1880.85,2308.19,1990.16
Assam,Dibrugarh,Dibrugarh APMC,Paddy(Common),Other,Local,30/01/2026,1727.8,2235.91,1918.73
West Bengal,Siliguri,Siliguri APMC,Sweet Potato,Other,Local,30/01/2026,1622.0,2033.05,1798.76
Madhya Pradesh,Ujjain,Ujjain APMC,Black Gram (Urd Beans)(Whole),Other,FAQ,30/01/2026,4853.84,5580.63,5146.09
West Bengal,Howrah,Howrah APMC,Bhindi(Ladies Finger),Other,Local,30/01/2026,1991.91,2710.52,2284.39
Andhra Pradesh,Guntur,Guntur APMC,Cotton,Other,FAQ,30/01/2026,5838.76,7429.25,6691.11
Maharashtra,Nashik,Nashik APMC,Tomato,Other,FAQ,30/01/2026,1753.1,2148.85,1953.8
Assam,Nagaon,Nagaon APMC,Tea,Other,FAQ,30/01/2026,2677.35,3497.54,3047.22
Gujarat,Surat,Surat APMC,Coriander(Leaves),Other,FAQ,30/01/2026,2821.48,3437.73,3223.94
Maharashtra,Kolhapur,Kolhapur APMC,Bengal Gram(Gram)(Whole),Other,Local,30/01/2026,5108.68,6447.67,5449.84
Tamil Nadu,Chennai,Chennai APMC,Bitter gourd,Other,Local,30/01/2026,3386.77,4249.7,3732.89
Karnataka,Bangalore,Bangalore APMC,Cabbage,Other,Local,30/01/2026,1497.18,1792.1,1609.61
Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Other,Local,30/01/2026,2339.69,2597.65,2464.53
Rajasthan,Jodhpur,Jodhpur APMC,Orange,Other,FAQ,30/01/2026,2850.16,3932.84,3345.87
Rajasthan,Kota,Kota APMC,Onion,Other,FAQ,30/01/2026,1619.22,1969.26,1776.83
Madhya Pradesh,Jabalpur,Jabalpur APMC,Black Gram (Urd Beans)(Whole),Other,Local,30/01/2026,5236.02,6806.22,6135.76
West Bengal,Durgapur,Durgapur APMC,Bhindi(Ladies Finger),Other,FAQ,30/01/2026,2506.46,3113.32,2803.59
Maharashtra,Pune,Pune APMC,Tomato,Other,FAQ,30/01/2026,1730.46,2154.26,2022.03
Uttar Pradesh,Meerut,Meerut APMC,Water Melon,Other,FAQ,30/01/2026,1070.44,1413.7,1221.61
Karnataka,Mysore,Mysore APMC,Cabbage,Other,FAQ,30/01/2026,1282.74,1554.2,1393.15
Andhra Pradesh,Visakhapatnam,Visakhapatnam APMC,Cotton,Other,FAQ,30/01/2026,6025.86,7805.5,6878.96
Rajasthan,Ajmer,Ajmer APMC,Onion,Other,Local,30/01/2026,1952.41,2584.57,2240.64
Assam,Guwahati,Guwahati APMC,Paddy(Common),Other,FAQ,30/01/2026,1863.5,2341.75,2140.95
Maharashtra,Kolhapur,Kolhapur APMC,Green Chilli,Other,Local,30/01/2026,4347.84,5009.26,4668.67
Odisha,Bhubaneswar,Bhubaneswar APMC,Sweet Potato,Other,FAQ,30/01/2026,1507.47,1886.92,1723.72
Andhra Pradesh,Vijayawada,Vijayawada APMC,Water Melon,Other,FAQ,30/01/2026,1041.22,1240.77,1116.9
Madhya Pradesh,Indore,Indore APMC,Green Chilli,Other,Local,30/01/2026,3837.42,4829.9,4104.14
Maharashtra,Mumbai,Mumbai APMC,Banana,Other,FAQ,30/01/2026,2836.24,3658.68,3159.0
Assam,Jorhat,Jorhat APMC,Orange,Other,Local,30/01/2026,3149.79,4345.78,3665.53
Gujarat,Vadodara,Vadodara APMC,Coriander(Leaves),Other,FAQ,30/01/2026,2884.18,3543.2,3122.71
Maharashtra,Nagpur,Nagpur APMC,Bengal Gram(Gram)(Whole),Other,Local,30/01/2026,5440.02,6407.55,5776.78
Andhra Pradesh,Kurnool,Kurnool APMC,Cotton,Other,Local,30/01/2026,5712.57,7301.57,6533.68
Rajasthan,Jodhpur,Jodhpur APMC,Onion,Other,FAQ,30/01/2026,1621.39,2166.64,1828.05
Assam,Silchar,Silchar APMC,Paddy(Common),Other,Local,30/01/2026,2036.6,2796.95,2346.14
West Bengal,Asansol,Asansol APMC,Sweet Potato,Other,FAQ,30/01/2026,1552.42,1878.86,1779.96
Madhya Pradesh,Bhopal,Bhopal APMC,Green Chilli,Other,FAQ,30/01/2026,3989.57,4872.36,4502.09
Andhra Pradesh,Visakhapatnam,Visakhapatnam APMC,Water Melon,Other,FAQ,30/01/2026,1028.77,1307.19,1097.95
Rajasthan,Jaipur,Jaipur APMC,Orange,Other,FAQ,30/01/2026,2413.15,3030.19,2830.97
Maharashtra,Kolhapur,Kolhapur APMC,Cabbage,Other,FAQ,30/01/2026,1544.16,1836.38,1625.59
Uttar Pradesh,Lucknow,Lucknow APMC,Black Gram (Urd Beans)(Whole),Other,FAQ,30/01/2026,5467.14,7203.07,6317.91
Maharashtra,Nagpur,Nagpur APMC,Tomato,Other,FAQ,30/01/2026,1536.59,2108.94,1807.25
